id,block_number,tkn_pair,oracle_price,time
185087,7508025,tBTC/USD,10336239190680,1746881553
185065,7507956,tBTC/USD,10390339472871,1746880714
184964,7507529,tBTC/USD,10333992749070,1746875315
184958,7507484,tBTC/USD,10416656865201,1746874720
184879,7507237,tBTC/USD,10330875488386,1746871598
184876,7507209,tBTC/USD,10387047527900,1746871238
184868,7507136,tBTC/USD,10330549538055,1746870317
184866,7507115,tBTC/USD,10278979968729,1746870053
184849,7507057,tBTC/USD,10340833264036,1746869320
184847,7507047,tBTC/USD,10271727392585,1746869200
184815,7506914,tBTC/USD,10333054834495,1746867564
184804,7506895,tBTC/USD,10489426710066,1746867323
184802,7506884,tBTC/USD,10412211623042,1746867202
184749,7506654,tBTC/USD,10339351236595,1746864323
184742,7506644,tBTC/USD,10394220366987,1746864202
184737,7506635,tBTC/USD,10334973069430,1746864081
184729,7506616,tBTC/USD,10249681545922,1746863840
184549,7506210,tBTC/USD,10357004624644,1746858754
184364,7505550,tBTC/USD,10296889805530,1746850474
184232,7504606,tBTC/USD,10268218571372,1746838696
184231,7504596,tBTC/USD,10348768241609,1746838574
184222,7504557,tBTC/USD,10296062179538,1746838095
184215,7504520,tBTC/USD,10243983975878,1746837610
184212,7504500,tBTC/USD,10374565482242,1746837381
183706,7502432,tBTC/USD,10279508376331,1746811457
183665,7502334,tBTC/USD,10201246451560,1746810249
183582,7502146,tBTC/USD,10266150000868,1746807851
183542,7502088,tBTC/USD,10414507479385,1746807140
183540,7502078,tBTC/USD,10266150000868,1746807018
183531,7502057,tBTC/USD,10414507479385,1746806768
183530,7502048,tBTC/USD,10266150000868,1746806649
183528,7502020,tBTC/USD,10414507479385,1746806290
183520,7501927,tBTC/USD,10254888780921,1746805100
183425,7501649,tBTC/USD,10428192542288,1746801659
183421,7501642,tBTC/USD,10325480465318,1746801542
183420,7501611,tBTC/USD,10238246941941,1746801178
183416,7501581,tBTC/USD,10330213403633,1746800815
183407,7501571,tBTC/USD,10388660821558,1746800686
183383,7501511,tBTC/USD,10316796543828,1746799931
183354,7501423,tBTC/USD,10379605411116,1746798853
183347,7501376,tBTC/USD,10291416616388,1746798252
183340,7501347,tBTC/USD,10231587028081,1746797897
183322,7501284,tBTC/USD,10296855131016,1746797055
183172,7500763,tBTC/USD,10274762920573,1746790532
183163,7500744,tBTC/USD,10442815005808,1746790291
183110,7500660,tBTC/USD,10264760569877,1746789163
183073,7500574,tBTC/USD,10320469993075,1746788080
182973,7500443,tBTC/USD,10265843721546,1746786405
182959,7500426,tBTC/USD,10328432363350,1746786171
182901,7500239,tBTC/USD,10265396621050,1746783771
182899,7500206,tBTC/USD,10214118140117,1746783336
182887,7500156,tBTC/USD,10315009688313,1746782734
182885,7500137,tBTC/USD,10260922886169,1746782497
182880,7500129,tBTC/USD,10386215355578,1746782378
182829,7500042,tBTC/USD,10310174816775,1746781302
182811,7499993,tBTC/USD,10216834917330,1746780692
182808,7499982,tBTC/USD,10293219153790,1746780553
182801,7499976,tBTC/USD,10479049308814,1746780459
182787,7499964,tBTC/USD,10574660683019,1746780333
182766,7499948,tBTC/USD,10419617515248,1746780110
182757,7499937,tBTC/USD,10359208357780,1746779983
182749,7499928,tBTC/USD,10299569244526,1746779862
182739,7499919,tBTC/USD,10353596022488,1746779735
182725,7499901,tBTC/USD,10260246114632,1746779512
182717,7499891,tBTC/USD,10347962625345,1746779372
182699,7499873,tBTC/USD,10413053682154,1746779130
182687,7499848,tBTC/USD,10342404922178,1746778836
182671,7499825,tBTC/USD,10411677254413,1746778537
182633,7499802,tBTC/USD,10325319776472,1746778254
182588,7499757,tBTC/USD,10406263281156,1746777702
182573,7499714,tBTC/USD,10338905711158,1746777118
182557,7499682,tBTC/USD,10265882074913,1746776733
182514,7499554,tBTC/USD,10370792175265,1746775054
182503,7499524,tBTC/USD,10310550091733,1746774693
182495,7499485,tBTC/USD,10247802561613,1746774210
182464,7499358,tBTC/USD,10319662112281,1746772650
182458,7499280,tBTC/USD,10232204098028,1746771655
182433,7499160,tBTC/USD,10289944501396,1746770079
182263,7498556,tBTC/USD,10234405761260,1746762401
182226,7498480,tBTC/USD,10305406553491,1746761446
182164,7498278,tBTC/USD,10238531959015,1746758922
181967,7497760,tBTC/USD,10292494150952,1746752439
181959,7497670,tBTC/USD,10230386514624,1746751273
181799,7497034,tBTC/USD,10284720030192,1746743203
181712,7496868,tBTC/USD,10360103438992,1746741091
181526,7496598,tBTC/USD,10182325459302,1746737623
181454,7496417,tBTC/USD,10117540094340,1746735353
181428,7496350,tBTC/USD,10034907587956,1746734493
181424,7496343,tBTC/USD,9950707758436,1746734375
181413,7496322,tBTC/USD,10045115213026,1746734129
181122,7495708,tBTC/USD,10098236123168,1746726404
181055,7495511,tBTC/USD,10116875297195,1746723819
181042,7495449,tBTC/USD,10010923317379,1746722862
180963,7495291,tBTC/USD,10177461194658,1746720585
180942,7495235,tBTC/USD,10161438491706,1746719709
180911,7495202,tBTC/USD,10066059289396,1746719217
180900,7495187,tBTC/USD,10007907057799,1746718992
180862,7495153,tBTC/USD,10064347990125,1746718499
180512,7494039,tBTC/USD,9935660952980,1746704400
180426,7493754,tBTC/USD,9988187042386,1746700681
180251,7492926,tBTC/USD,9925267438137,1746690172
180049,7492236,tBTC/USD,9866408232961,1746681359
179992,7492012,tBTC/USD,9924195882805,1746678484
179932,7491862,tBTC/USD,9874046884512,1746676618
179738,7491471,tBTC/USD,9824206325885,1746671672
179674,7491057,tBTC/USD,9741651329647,1746666414
