tkn_pair,oracle_price,time,id,block_number
AAVE/USD,26658078732,1748143930,209756,7633267
AAVE/USD,26473495388,1748142611,209748,7633051
AAVE/USD,26297148656,1748142011,209746,7632955
AAVE/USD,26136074108,1748141770,209727,7632915
AAVE/USD,25997670712,1748141289,209718,7632835
AAVE/USD,25804947663,1748140091,209692,7632648
AAVE/USD,25656623841,1748139611,209686,7632570
AAVE/USD,25788380939,1748138531,209662,7632394
AAVE/USD,25960121615,1748136371,209612,7632047
AAVE/USD,25760502264,1748135295,209501,7631870
AAVE/USD,25926710132,1748133900,209322,7631650
AAVE/USD,26105870887,1748133610,209287,7631602
AAVE/USD,26274831067,1748132170,209225,7631370
AAVE/USD,26428934733,1748131929,209224,7631331
AAVE/USD,26271913764,1748131450,209211,7631257
AAVE/USD,26082188304,1748126651,209179,7630497
AAVE/USD,26228449253,1748125329,209165,7630289
AAVE/USD,26375817811,1748123889,209155,7630060
AAVE/USD,26244470005,1748123409,209149,7629986
AAVE/USD,26097188151,1748121733,209137,7629721
AAVE/USD,26351501534,1748118609,209096,7629227
AAVE/USD,26552139587,1748117049,209065,7628982
AAVE/USD,26701599914,1748114049,209055,7628510
AAVE/USD,26850557734,1748113450,209054,7628413
AAVE/USD,26710362139,1748112850,209052,7628318
AAVE/USD,26856228882,1748111884,209046,7628164
AAVE/USD,26994244305,1748108646,208962,7627655
AAVE/USD,27154320900,1748107570,208942,7627488
AAVE/USD,27415919744,1748107210,208941,7627431
AAVE/USD,27565029602,1748106491,208935,7627319
AAVE/USD,27394893223,1748106250,208933,7627280
AAVE/USD,27197835383,1748105290,208918,7627128
AAVE/USD,27039463014,1748104690,208905,7627030
AAVE/USD,26884496560,1748103493,208853,7626840
AAVE/USD,26747787754,1748103010,208838,7626765
AAVE/USD,26906842462,1748102770,208822,7626727
AAVE/USD,27075941802,1748102650,208817,7626707
AAVE/USD,27212183615,1748101691,208810,7626555
AAVE/USD,26857167669,1748100371,208783,7626344
AAVE/USD,26704205343,1748098331,208766,7626024
AAVE/USD,26537509497,1748096770,208757,7625781
AAVE/USD,26676025647,1748095811,208756,7625631
AAVE/USD,26500601519,1748095091,208743,7625518
AAVE/USD,26718009226,1748094254,208709,7625383
AAVE/USD,26765089486,1748093529,208693,7625270
AAVE/USD,26605735597,1748093170,208692,7625215
AAVE/USD,26344995962,1748092690,208691,7625144
AAVE/USD,26608965415,1748090406,208686,7624785
AAVE/USD,26471625932,1748089451,208685,7624638
AAVE/USD,26317491322,1748089089,208679,7624581
AAVE/USD,26461240702,1748085730,208636,7624064
AAVE/USD,26672448749,1748085250,208617,7623991
AAVE/USD,26533744091,1748084410,208612,7623866
AAVE/USD,26667663194,1748083930,208609,7623797
